,Day,Crop,Treatment,Addition,sample,timepoint,k_cl_weight,k_cl_volume_l,moisture_percent,dry_soil,nh4n_mgl_1,no3n_mgl_1,nh4n_mg_kg_1,no3n_mg_kg_1,total_N_mg_kg,net_N_mg_kg_1,Cumul_net_N_mg_kg_1,jar_id,event,CH4C_ug_g_T0,CH4C_flux_ug_g,CO2C_flux_ug_g,N2ON_flux_ug_g,sample_date,CH4C_flux_ug_g_d,CO2C_flux_ug_g_d,N2ON_flux_ug_g_d,CH4_flux_ug_g_d_avg,CO2_flux_ug_g_d_avg,N2O_flux_ug_g_d_avg,CH4_flux_ug_g_avg,CO2_flux_ug_g_avg,N2O_flux_ug_g_avg,cum_CH4_flux_ug_g,cum_CO2_flux_ug_g,cum_N2O_flux_ug_g,X16S,F1R2_Ave.g,CS001_Ave.g,F1R2.16S...,CS001.16S...,qnorB_Ave.g,qnorB.16S,cnorB_Ave.g,qnorB.cnorB,cnorB.16S,tot_nor.16S
11,59,Corn,112N,Carbon,11,e,38.398,0.035553704,44.57222876,3.529086195,-0.314074177,2.632724334,0,26.52332522,26.52332522,13.32113929,13.70640602,11,6,0.045189631,0.003668118,20.05229961,0.003276346,11,0.003329188,18.19949038,0.002973615,0.001675738,20.10295495,0.002941277,0.04859639,582.9856935,0.085297027,0.210704154,1392.611942,0.110921468,9560355550,41492298.57,53464810.91,0.004340037,0.005592345,358322702.9,0.03748006,1228180189,1586502892,0.128465953,0.165946014
12,86,Corn,112N,Carbon,11,f,37.82,0.035018519,44.57222876,3.802345107,0.354125219,9.791002639,3.261392691,90.17235352,93.43374621,66.91042099,80.61682701,11,7,0.07123002,-0.00118209,20.68330679,0.00169658,11,-0.000940612,16.45810691,0.001350002,0.001194288,17.32879865,0.002161808,0.032245774,467.8775635,0.058368827,0.242949928,1860.489506,0.169290296,5896379707,8183491.69,21657265.18,0.001387884,0.003672977,235859953.3,0.040000808,663464574.1,899324527.4,0.112520666,0.152521475
13,0,Corn,112N,Nitrogen,12,a,37.772,0.034974074,44.57222876,3.32178633,0.748094683,1.317468302,7.876460514,13.8712215,21.74768201,0,0,12,1,0.036416667,0.002284741,26.15620986,0.006613001,12,0.002094514,23.97844527,0.006062402,0,0,0,0,0,0,0,0,0,1719981273,11295288.64,13868582.39,0.0065671,0.008063217,102619016.5,0.059662868,373359119.5,475978136.1,0.217071619,0.276734488
14,4,Corn,112N,Nitrogen,12,b,38.201,0.035371296,44.57222876,3.056287306,0.648219564,3.126013623,7.502032353,36.17825912,43.68029147,21.93260946,21.93260946,12,2,0.046988229,0.000631067,27.39990621,-0.000911774,12,0.00057518,24.97338358,-0.000831028,0.001334847,24.47591443,0.002615687,0.005339386,97.90365771,0.01046275,0.005339386,97.90365771,0.01046275,12895891865,24567763.93,27517470.77,0.001905085,0.002133817,313326540.4,0.024296617,1593481479,1906808020,0.123565047,0.147861663
15,15,Corn,112N,Nitrogen,12,c,38.427,0.035580556,44.57222876,3.653244402,0.008528508,2.524171406,0.083062894,24.58401658,24.66707947,-19.013212,2.91939746,12,3,0.046824334,0.001942932,19.94287005,-5.71e-05,12,0.001924665,19.75537689,-5.65e-05,0.001249922,22.36438023,-0.000443777,0.013749147,246.0081826,-0.004881543,0.019088533,343.9118403,0.005581207,8029471425,49195749.49,42605586.38,0.006126898,0.005306151,360279565.6,0.044869649,1377289448,1737569014,0.171529279,0.216398929
16,30,Corn,112N,Nitrogen,12,d,38.551,0.03569537,44.57222876,3.756894335,0.20106869,7.61672878,1.910413421,72.36880535,74.27921877,49.6121393,52.53153676,12,4,0.046516782,0.000792234,21.74048345,0.000826845,12,0.000705965,19.37310764,0.000736808,0.001315315,19.56424226,0.000340141,0.019729729,293.4636339,0.00510212,0.038818262,637.3754742,0.010683326,10699926194,26301189.33,22686694.08,0.002458072,0.002120266,316129415.3,0.029545009,744432479.9,1060561895,0.069573609,0.099118618
17,59,Corn,112N,Nitrogen,12,e,38.494,0.035642593,44.57222876,3.874955487,0.062814835,11.95074866,0.577783043,109.9253055,110.5030885,36.22386977,88.75540653,12,6,0.046998128,-0.000364256,18.20206152,0.006475138,12,-0.000330578,16.51917098,0.005876472,0.000187694,17.94613931,0.00330664,0.005443116,520.4380399,0.095892565,0.044261378,1157.813514,0.106575892,7714551878,8661904.67,47074340.1,0.001122801,0.006102019,292765607.3,0.037949788,1047888693,1340654300,0.135832737,0.173782524
18,86,Corn,112N,Nitrogen,12,f,37.94,0.03512963,44.57222876,3.901560818,0.309859567,20.0366328,2.789973637,180.4097186,183.1996922,72.69660369,161.4520102,12,7,0.07199162,-0.001467001,16.5802296,0.001753514,12,-0.001166612,13.18519459,0.001394457,-0.000748595,14.85218279,0.003635465,-0.020212062,401.0089352,0.098157547,0.024049316,1558.822449,0.204733438,5593207569,7579391.77,27536037,0.001355106,0.004923121,224374019.3,0.040115447,650840641.9,875214661.2,0.116362683,0.15647813
19,0,Corn,336N,Control,13,a,37.614,0.034827778,39.15603401,3.701746891,2.424858629,10.5803692,22.81421176,99.54509534,122.3593071,0,0,13,1,0.038596152,-0.00541216,15.32222981,0.04846046,13,-0.004273422,12.09837653,0.038264201,0,0,0,0,0,0,0,0,0,1114826750,6333495.91,14199887.93,0.005681148,0.012737305,55288635.17,0.049593926,267459872.9,322748508.1,0.239911603,0.289505529
20,4,Corn,336N,Control,13,b,38.195,0.035365741,39.15603401,3.805790073,1.6034905,15.36767333,14.90061937,142.805867,157.7064864,35.34717927,35.34717927,13,2,0.042889671,0.002205189,16.23778207,0.034754363,13,0.002016429,14.84785762,0.031779454,-0.001128496,13.47311708,0.035021827,-0.004513986,53.89246831,0.14008731,-0.004513986,53.89246831,0.14008731,6745117660,14621069.12,35379437.67,0.002167652,0.005245192,135751047.7,0.020125824,1016343962,1152095010,0.150678463,0.170804287
21,15,Corn,336N,Control,13,c,38.438,0.035590741,39.15603401,3.908616375,0.596995575,21.33059519,5.436070643,194.2302877,199.6663583,41.95987197,77.30705124,13,3,0.043859095,-0.000948483,15.15891432,0.026010556,13,-0.000939739,15.01915275,0.025770745,0.000538345,14.93350519,0.028775099,0.005921796,164.2685571,0.316526093,0.001407811,218.1610254,0.456613403,3070402788,15907414.22,33439945.89,0.005180888,0.010891062,92763389.27,0.030212124,614552720.5,707316109.8,0.200153779,0.230365903
22,30,Corn,336N,Control,13,d,38.752,0.035881481,39.15603401,3.758940219,0.134045793,19.87724955,1.279552576,189.7410228,191.0205754,-8.645782967,68.66126828,13,4,0.045120427,0.000667535,12.79647838,0.057995972,13,0.000594765,11.40150903,0.051673717,-0.000172487,13.21033089,0.038722231,-0.002587298,198.1549634,0.580833467,-0.001179487,416.3159888,1.03744687,4111289784,14763277.67,32554420.81,0.003590911,0.007918299,89957531.61,0.021880611,368871965.1,458829496.7,0.089721714,0.111602325
23,59,Corn,336N,Control,13,e,38.593,0.035734259,39.15603401,4.092365152,-0.177975367,20.57497638,0,179.6593199,179.6593199,-11.36125548,57.3000128,13,6,0.043117642,0.000951992,9.100268294,0.378873607,13,0.000863902,8.258199565,0.343815562,0.000729334,9.829854299,0.19774464,0.021150677,285.0657747,5.734594546,0.01997119,701.3817635,6.772041416,2026437502,91852764.92,19376002.45,0.045327213,0.009561609,43193584.37,0.021315034,352313265.8,395506850.2,0.173858441,0.195173475
25,0,Corn,336N,Carbon,14,a,37.733,0.034937963,39.15603401,3.977370057,2.192691313,11.41838866,19.26101087,100.301263,119.5622739,0,0,14,1,0.034954388,0.003823516,81.57434107,1.164462565,14,0.003019503,64.42080936,0.919598245,0,0,0,0,0,0,0,0,0,629594240.2,3630763.63,13441136.79,0.005766831,0.021348888,22434902.59,0.035633907,145780438.3,168215340.9,0.231546652,0.267180559
26,4,Corn,336N,Carbon,14,b,38.244,0.035411111,39.15603401,3.836212056,1.134384236,13.01285523,10.47121631,120.1184021,130.5896184,11.02734454,11.02734454,14,2,0.043808289,0.001549527,28.92894644,0.028235672,14,0.00141632,26.4420474,0.025808371,0.002217912,45.43142838,0.472703308,0.008871647,181.7257135,1.890813232,0.008871647,181.7257135,1.890813232,6824653189,15377908.56,42437157.07,0.002253288,0.006218214,127538495.8,0.018687909,998163968.7,1125702464,0.146258563,0.164946472
28,30,Corn,336N,Carbon,14,d,38.721,0.035852778,39.15603401,3.73947015,0.083778621,18.00052804,0.803241144,172.5829879,173.386229,90.31756351,53.82395517,14,4,0.044574216,0.001918361,15.72546169,0.003571993,14,0.001709184,14.01076464,0.003182505,5.75e-05,16.71347101,0.002867622,0.000861824,250.7020651,0.043014331,0.008754727,684.6480148,2.089813669,3825921087,12018832.37,26091977.73,0.003141422,0.00681979,82187723.52,0.021481814,324079531.2,406267254.7,0.084706277,0.106188091
29,59,Corn,336N,Carbon,14,e,38.916,0.036033333,39.15603401,3.904357298,-0.146567949,20.09741171,0,185.4791148,185.4791148,12.09288576,65.91684093,14,6,0.042363233,0.001484868,11.61910584,0.013191072,14,0.001347356,10.54307741,0.011969467,0.00152827,12.27692103,0.007575986,0.044319832,356.0307097,0.219703586,0.053074558,1040.678725,2.309517255,2470372522,20601014.11,19918272.38,0.008339234,0.008062862,58426168.33,0.023650752,399418227.5,457844395.8,0.1616834,0.185334152
30,86,Corn,336N,Carbon,14,f,37.84,0.035037037,39.15603401,3.927478005,0.061971913,24.68533879,0.552851527,220.2179435,220.770795,35.29168023,101.2085212,14,7,0.06706097,0.000228412,14.55584276,0.025610149,14,0.000181436,11.56223972,0.02034308,0.000764396,11.05265857,0.016156273,0.020638698,298.4217813,0.436219382,0.073713256,1339.100506,2.745736638,819165659.9,19462519.32,7417470.96,0.023758954,0.00905491,17916122.75,0.021871184,193576284.9,211492407.6,0.236309082,0.258180266
31,0,Corn,336N,Nitrogen,15,a,37.743,0.034947222,39.15603401,6.540117904,3.559898838,22.05258608,19.02237507,117.8383383,136.8607134,0,0,15,1,0.037613347,-0.000619302,14.69887367,0.025869206,15,-0.000485309,11.51859494,0.020272091,0,0,0,0,0,0,0,0,0,806091132.1,4373862.25,12438048.44,0.005426015,0.015430077,33814986.51,0.041949334,210755273,244570259.5,0.261453407,0.303402742
32,4,Corn,336N,Nitrogen,15,b,38.149,0.035323148,39.15603401,3.676800865,2.447881773,18.09678782,23.51688158,173.8564423,197.3733239,60.51261051,60.51261051,15,2,0.043099812,0.002106073,16.16496301,0.024745883,15,0.001924799,14.77361037,0.022615952,0.000719745,13.14610266,0.021444022,0.002878981,52.58441063,0.085776086,0.002878981,52.58441063,0.085776086,5755185165,12881995.09,32702498.54,0.002238329,0.005682267,113140224.8,0.019658833,835537193.1,948677417.9,0.145179898,0.164838731
33,15,Corn,336N,Nitrogen,15,c,38.354,0.035512963,39.15603401,4.038822462,0.946664412,12.49819554,8.323925727,109.8953865,118.2193122,-79.15401165,-18.64140114,15,3,0.042987197,0.026475055,14.12313419,0.005621654,15,0.026233969,13.99452708,0.005570462,0.014079384,14.38406873,0.014093207,0.154873226,158.224756,0.155025279,0.157752207,210.8091666,0.240801366,2699931473,10454994.66,24133401.76,0.003872319,0.008938524,82237362.21,0.030459055,501868346.6,584105708.9,0.185881883,0.216340939
34,30,Corn,336N,Nitrogen,15,d,38.848,0.03597037,39.15603401,4.009617359,0.125667931,19.73519423,1.127369925,177.0448854,178.1722553,59.9529431,41.31154196,15,4,0.044396104,0.002287556,12.17653574,0.002687105,15,0.002038164,10.84903568,0.002394154,0.014136067,12.42178138,0.003982308,0.212040998,186.3267207,0.059734623,0.369793205,397.1358873,0.300535989,3752110353,13086723.45,23350188.21,0.00348783,0.006223215,86520590.55,0.023059181,303802275.9,390322866.4,0.080968374,0.104027555
35,59,Corn,336N,Nitrogen,15,e,39.003,0.036113889,39.15603401,4.103317066,-0.240790202,19.73206418,0,173.66476,173.66476,-4.507495325,36.80404663,15,6,0.043680455,0.000874156,9.206013287,0.001833201,15,0.000793085,8.352229796,0.001663186,0.001415624,9.600632737,0.00202867,0.041053105,278.4183494,0.058831436,0.41084631,675.5542367,0.359367424,1848659017,13551305.68,17149192.92,0.007330344,0.009276558,43116073.89,0.023322892,338710445,381826518.9,0.183219535,0.206542426
36,86,Corn,336N,Nitrogen,15,f,37.81,0.035009259,39.15603401,4.212227765,0.044265652,21.42117851,0.367906907,178.0387087,178.4066156,4.741855607,41.54590224,15,7,0.06667121,-0.001391625,9.467432868,0.151154391,15,-0.001104931,7.51701189,0.120014514,-0.000155923,7.934620843,0.06083885,-0.004209926,214.2347628,1.642648953,0.406636384,889.7889995,2.002016377,1768074612,60397246.86,8985801.66,0.034159897,0.005082253,40854919.8,0.023107011,306449724.7,347304644.5,0.173323978,0.196430989
37,0,Corn,336N,Control,16,a,37.654,0.034864815,37.88436194,4.268586647,0.31815521,5.549056618,2.598617154,45.32339328,47.92201043,0,0,16,1,0.034598022,-0.008547029,14.85210115,0.000289793,16,-0.006699295,11.64130944,0.000227144,0,0,0,0,0,0,0,0,0,1216099003,7713760.67,17081514.83,0.006343037,0.014046155,68881044.88,0.056640985,242823410.3,311704455.2,0.199674048,0.256315032
38,4,Corn,336N,Control,16,b,38.172,0.035344444,37.88436194,4.141870746,0.469106263,5.591777467,4.003094562,47.71715009,51.72024465,3.798234218,3.798234218,16,2,0.043660381,0.001093812,15.8936517,-0.001851629,16,0.001000025,14.5308774,-0.001692864,-0.002849635,13.08609342,-0.00073286,-0.01139854,52.34437368,-0.00293144,-0.01139854,52.34437368,-0.00293144,9705371251,45735109.28,69953117.91,0.00471235,0.00720767,287708890,0.029644295,1313707446,1601416336,0.135358804,0.165003099
39,15,Corn,336N,Control,16,c,38.479,0.035628704,37.88436194,4.06049926,-0.068228066,2.711914215,0,23.79559307,23.79559307,-27.92465158,-24.12641736,16,3,0.043377578,0.03511257,13.60653041,0.000472939,16,0.034781661,13.47829937,0.000468482,0.017890843,14.00458838,-0.000612191,0.196799276,154.0504722,-0.006734102,0.185400736,206.3948459,-0.009665542,5597207987,60071908.85,85486499.56,0.010732478,0.015273061,246853787.5,0.044103022,911393253.1,1158247041,0.162829978,0.206933
40,30,Corn,336N,Control,16,d,38.8,0.035925926,37.88436194,3.687184275,0.125667931,7.421498092,1.224440235,72.31105657,73.53549681,49.73990374,25.61348637,16,4,0.049886347,0.006047571,14.87545641,0.00090269,16,0.005388535,13.2544003,0.00080432,0.020085098,13.36634983,0.000636401,0.301276475,200.4952475,0.009546011,0.486677211,406.8900934,-0.000119531,6343149506,27870545.53,36893072.91,0.004393802,0.005816207,192514096.3,0.030349923,467910798.2,660424894.5,0.07376632,0.104116243
41,59,Corn,336N,Control,16,e,39.071,0.036176852,37.88436194,4.084103202,-0.335012455,12.04717098,0,106.7134443,106.7134443,33.1779475,58.79143387,16,6,0.043249059,-0.000928824,10.81264911,0.00137007,16,-0.000842709,9.810172145,0.001243046,0.002272913,11.53228622,0.001023683,0.065914477,334.4363004,0.029686806,0.552591688,741.3263938,0.029567275,3403307997,37714858.19,52053571.52,0.011081823,0.015294993,137404988.5,0.04037395,446278619,583683607.5,0.131130835,0.171504785
42,86,Corn,336N,Control,16,f,37.94,0.03512963,37.88436194,4.222621075,0.00885313,20.21719794,0.073652637,168.1947452,168.2683978,61.55495354,120.3463874,16,7,0.066629768,-0.000869206,9.143095701,0.053936495,16,-0.000689796,7.255891952,0.042803597,-0.000766252,8.533032049,0.022023322,-0.020688816,230.3918653,0.594629685,0.531902873,971.7182591,0.62419696,3359514270,1094982.54,34939655.88,0.000325935,0.010400211,151038316.5,0.044958379,458579639.3,609617955.8,0.136501769,0.181460148
43,0,Corn,336N,Carbon,17,a,37.814,0.035012963,37.88436194,4.272934742,0.232167316,7.103050099,1.902408089,58.203283,60.10569109,0,0,17,1,0.032988387,0.008626846,56.16240602,0.259569197,17,0.006767321,44.05654461,0.203618803,0,0,0,0,0,0,0,0,0,1169405743,8663640.75,18073587.83,0.007408584,0.015455361,67701951.74,0.057894321,279258052.6,346960004.4,0.238803387,0.296697709
44,4,Corn,336N,Carbon,17,b,38.202,0.035372222,37.88436194,4.112676396,0.426460239,3.268210272,3.66789042,28.10915542,31.77704584,-28.32864525,-28.32864525,17,2,0.043571392,0.000663152,29.77699282,0.00494282,17,0.000606438,27.2304422,0.004520107,0.00368688,35.64349341,0.104069455,0.014747518,142.5739736,0.41627782,0.014747518,142.5739736,0.41627782,11587946125,31614472.74,55823282.89,0.002728221,0.004817358,283293490.5,0.024447256,1400722396,1684015887,0.120877538,0.145324794
45,15,Corn,336N,Carbon,17,c,38.404,0.035559259,37.88436194,4.063605042,-0.051171049,2.791112214,0,24.42409679,24.42409679,-7.35294905,-35.6815943,17,3,0.049140417,-0.004458924,18.45248627,0.000259575,17,-0.004417104,18.27942413,0.000257141,-0.001905333,22.75493317,0.002388624,-0.020958663,250.3042648,0.026274862,-0.006211145,392.8782385,0.442552682,5779327011,34839945.69,52162168.92,0.006028374,0.009025648,258128746.6,0.044664153,946510687,1204639434,0.163775243,0.208439396
46,30,Corn,336N,Carbon,17,d,39.043,0.036150926,37.88436194,3.833777181,0.008377862,6.388112583,0.078999758,60.23724747,60.31624723,35.89215044,0.210556139,17,4,0.043509597,0.001579727,18.39336255,0.000692354,17,0.001407634,16.38961794,0.00061693,-0.001504735,17.33452103,0.000437036,-0.022571029,260.0178155,0.006555534,-0.028782174,652.8960539,0.449108215,11053755677,43211444.8,65971975.74,0.003909209,0.005968286,299787710.3,0.027120892,745185973.9,1044973684,0.067414732,0.094535623
47,59,Corn,336N,Carbon,17,e,37.508,0.03472963,37.88436194,4.138143808,-0.345481594,11.10775115,0,93.22249332,93.22249332,32.90624609,33.11680223,17,6,0.040237778,0.003182848,12.24637024,0.001388901,17,0.002887604,11.11038483,0.001260065,0.002147619,13.75000138,0.000938498,0.062280946,398.7500401,0.027216431,0.033498772,1051.646094,0.476324646,6034022601,35607358.58,66888636.92,0.005901098,0.011085248,247794441.6,0.04106621,794811431.1,1042605873,0.131721653,0.172787863
48,86,Corn,336N,Carbon,17,f,37.94,0.03512963,37.88436194,4.250573112,0.00885313,15.29123771,0.073168293,126.3771974,126.4503657,33.22787237,66.3446746,17,7,0.065954329,-0.000819941,10.66355978,0.005344704,17,-0.000649744,8.450102403,0.004235293,0.00111893,9.780243614,0.002747679,0.030211107,264.0665776,0.074187329,0.06370988,1315.712672,0.550511975,3336983696,13799805.61,17279736.98,0.004135413,0.00517825,177819743.7,0.053287567,535235279.8,713055023.5,0.160394934,0.213682501
49,0,Corn,336N,Nitrogen,18,a,37.629,0.034841667,37.88436194,3.939373766,0.816884999,8.455982104,7.224913535,74.78866625,82.01357979,0,0,18,1,0.036773025,0.008088083,10.77362589,0.000632188,18,0.006342501,8.448445499,0.000495749,0,0,0,0,0,0,0,0,0,1269570477,7590749.29,16214661.38,0.00597899,0.012771769,97672708.15,0.076933664,273990914.8,371663622.9,0.215813868,0.292747531
50,4,Corn,336N,Nitrogen,18,b,38.29,0.035453704,37.88436194,3.89402935,0.40940183,6.368247007,3.727452944,57.98054463,61.70799757,-20.30558221,-20.30558221,18,2,0.053923681,-0.009781519,14.32570789,-0.001684484,18,-0.00895106,13.10944291,-0.00154147,-0.001304279,10.77894421,-0.000522861,-0.005217118,43.11577682,-0.002091443,-0.005217118,43.11577682,-0.002091443,3917675363,21924808.5,33533001.37,0.005596382,0.008559413,158295132.8,0.040405373,732413912.7,890709045.5,0.18695115,0.227356522
51,15,Corn,336N,Nitrogen,18,c,38.516,0.035662963,37.88436194,2.398905942,0.068228066,5.855424006,1.014301957,87.04875244,88.0630544,26.35505682,6.049474612,18,3,0.050362838,-0.004499671,12.80818635,0.000551562,18,-0.00445609,12.68413435,0.00054622,-0.006703575,12.89678863,-0.000497625,-0.073739326,141.8646749,-0.005473876,-0.078956444,184.9804517,-0.007565319,4162754226,36338388.6,61058795.31,0.00872941,0.014667884,177948474.2,0.042747773,637901902.1,815850376.4,0.153240347,0.19598812
52,30,Corn,336N,Nitrogen,18,d,39.073,0.036178704,37.88436194,4.040001099,0.117290069,12.86636328,1.050346906,115.2198559,116.2702028,28.20714841,34.25662302,18,4,0.042213128,0.002244873,12.10438934,0.000561025,18,0.00200098,10.78931651,0.000500073,-0.001227555,11.73672543,0.000523146,-0.018413325,176.0508815,0.007847196,-0.097369768,361.0313332,0.000281877,9294533145,43946821.91,64065406.21,0.004728244,0.006892805,250877578.8,0.026991951,591682714.6,842560293.3,0.063659218,0.090651169
53,59,Corn,336N,Nitrogen,18,e,37.47,0.034694444,37.88436194,4.031926066,-0.335012455,17.27188889,0,148.6234072,148.6234072,32.35320439,66.60982742,18,6,0.042722529,0.000893327,9.646167241,0.001296888,18,0.000810461,8.751379231,0.001176587,0.001405721,9.770347872,0.00083833,0.040765906,283.3400883,0.024311565,-0.056603862,644.3714215,0.024593442,5183176824,43019217.88,72256624.42,0.008299778,0.013940606,205603043.9,0.03966738,658806627.5,864409671.4,0.127104795,0.166772175
54,86,Corn,336N,Nitrogen,18,f,38.04,0.035222222,37.88436194,3.956144988,0.00885313,21.66012608,0.078820901,192.8437346,192.9225555,44.2991483,110.9089757,18,7,0.068288743,0.000483417,9.536661758,0.001786072,18,0.000382824,7.552199077,0.001414412,0.000596643,8.151789154,0.0012955,0.016109349,220.0983071,0.034978488,-0.040494513,864.4697286,0.05957193,2965065621,14235120.51,24909506.55,0.004800946,0.008400997,129820798.2,0.043783449,433825465.3,563646263.6,0.146312264,0.190095713
55,0,Corn,112N,Control,19,a,37.589,0.03480463,40.52771432,4.148191926,0.292358842,0.884607138,2.45298226,7.42213098,9.87511324,0,0,19,1,0.062720337,-0.025384945,56.10978354,0.011554983,19,-0.019861441,43.90087023,0.009040737,0,0,0,0,0,0,0,0,0,730290838.3,2867750.21,8246482.23,0.00392686,0.011292052,27228547.34,0.037284525,94559489.06,121788036.4,0.12948196,0.166766485
