jar_id,rev_name,date_T0,time_T0,analysis_date_T0,CH4.ppm_T0,CO2.ppm.cor_T0,N2O.ppm.cor_T0,timestamp_T0,goodtime_T0,doe_T0,sampling_id_T0,event_id_T0,event,crop_T0,fert_T0,addition_T0,Rep2,dry_weight_g_T0,CH4C_ug_g_T0,CO2C_ug_g_T0,N2ON_ug_g_T0,date_T1,time_T1,analysis_date_T1,CH4.ppm_T1,CO2.ppm.cor_T1,N2O.ppm.cor_T1,timestamp_T1,goodtime_T1,doe_T1,sampling_id_T1,event_id_T1,crop_T1,fert_T1,addition_T1,dry_weight_g_T1,CH4C_ug_g_T1,CO2C_ug_g_T1,N2ON_ug_g_T1,CH4C_flux_ug_g,CO2C_flux_ug_g,N2ON_flux_ug_g,sample_date,time_dif,CH4C_flux_ug_g_d,CO2C_flux_ug_g_d,N2ON_flux_ug_g_d,diff.day,CH4_flux_ug_g_d_avg,CO2_flux_ug_g_d_avg,N2O_flux_ug_g_d_avg,CH4_flux_ug_g_avg,CO2_flux_ug_g_avg,N2O_flux_ug_g_avg,cum_CH4_flux_ug_g,cum_CO2_flux_ug_g,cum_N2O_flux_ug_g
11,11a,1/12/21,5:35:25,1/18/21,1.7722753,627.953453,0.17929575,1/12/21 5:35,1/12/21 5:35,0,1,0.5,1,Corn,112N,Carbon,Corn-112N-Carbon-0,10.17843925,0.040303601,14.28039158,0.009513919,1/13/21,7:46:43,1/18/21,1.66864875,2801.25943,0.15508887,1/13/21 7:46,1/13/21 7:46,1,2,1,Corn,112N,Carbon,10.17843925,0.037947013,63.70389618,0.008229436,-0.002356588,49.4235046,-0.001284483,11,26.18833333,-0.002159668,45.29360824,-0.00117715,0,0,0,0,0,0,0,0,0,0
12,12a,1/12/21,5:36:50,1/18/21,1.60135468,499.070448,0.17859214,1/12/21 5:36,1/12/21 5:36,0,1,0.5,1,Corn,112N,Nitrogen,Corn-112N-Nitrogen-0,10.17843925,0.036416667,11.34944221,0.009476583,1/13/21,7:47:37,1/18/21,1.70182188,1649.24075,0.30321827,1/13/21 7:47,1/13/21 7:47,1,2,1,Corn,112N,Nitrogen,10.17843925,0.038701408,37.50565206,0.016089584,0.002284741,26.15620986,0.006613001,12,26.17972222,0.002094514,23.97844527,0.006062402,0,0,0,0,0,0,0,0,0,0
13,13a,1/12/21,5:38:40,1/18/21,1.81145119,552.279551,0.18071041,1/12/21 5:38,1/12/21 5:38,0,1,0.5,1,Corn,336N,Control,Corn-336N-Control-0,10.86366784,0.038596152,11.76728676,0.008984157,1/13/21,12:02:23,1/18/21,1.55743977,1271.4049,1.15546069,1/13/21 12:02,1/13/21 12:02,1,2,1,Corn,336N,Control,10.86366784,0.033183992,27.08951656,0.057444616,-0.00541216,15.32222981,0.04846046,13,30.39527778,-0.004273422,12.09837653,0.038264201,0,0,0,0,0,0,0,0,0,0
14,14a,1/12/21,5:40:00,1/18/21,1.64053057,573.536481,0.22313784,1/12/21 5:40,1/12/21 5:40,0,1,0.5,1,Corn,336N,Carbon,Corn-336N-Carbon-0,10.86366784,0.034954388,12.22020302,0.011093469,1/13/21,12:03:26,1/18/21,1.81998142,4402.10303,23.6455367,1/13/21 12:03,1/13/21 12:03,1,2,1,Corn,336N,Carbon,10.86366784,0.038777904,93.79454409,1.175556034,0.003823516,81.57434107,1.164462565,14,30.39055556,0.003019503,64.42080936,0.919598245,0,0,0,0,0,0,0,0,0,0
15,15a,1/12/21,5:41:22,1/18/21,1.76532474,522.335495,0.17931938,1/12/21 5:41,1/12/21 5:41,0,1,0.5,1,Corn,336N,Nitrogen,Corn-336N-Nitrogen-0,10.86366784,0.037613347,11.129276,0.008915001,1/13/21,12:18:57,1/18/21,1.73625875,1212.20458,0.69966145,1/13/21 12:18,1/13/21 12:18,1,2,1,Corn,336N,Nitrogen,10.86366784,0.036994045,25.82814967,0.034784207,-0.000619302,14.69887367,0.025869206,15,30.62638889,-0.000485309,11.51859494,0.020272091,0,0,0,0,0,0,0,0,0,0
16,16a,1/12/21,5:42:58,1/18/21,1.64337398,615.112947,0.17734281,1/12/21 5:42,1/12/21 5:42,0,1,0.5,1,Corn,336N,Control,Corn-336N-Control-0,10.99458877,0.034598022,12.94999887,0.008711747,1/13/21,12:20:08,1/18/21,1.23739803,1320.57399,0.18324205,1/13/21 12:20,1/13/21 12:20,1,2,1,Corn,336N,Control,10.99458877,0.026050993,27.80210002,0.009001539,-0.008547029,14.85210115,0.000289793,16,30.61944444,-0.006699295,11.64130944,0.000227144,0,0,0,0,0,0,0,0,0,0
17,17a,1/12/21,5:44:33,1/18/21,1.56691781,593.622453,0.21766499,1/12/21 5:44,1/12/21 5:44,0,1,0.5,1,Corn,336N,Carbon,Corn-336N-Carbon-0,10.99458877,0.032988387,12.49755859,0.010692524,1/13/21,12:20:14,1/18/21,1.97668498,3261.2847,5.50164913,1/13/21 12:20,1/13/21 12:20,1,2,1,Corn,336N,Carbon,10.99458877,0.041615232,68.65996461,0.27026172,0.008626846,56.16240602,0.259569197,17,30.59472222,0.006767321,44.05654461,0.203618803,0,0,0,0,0,0,0,0,0,0
18,18a,1/12/21,5:46:01,1/18/21,1.7466846,501.373693,0.17339137,1/12/21 5:46,1/12/21 5:46,0,1,0.5,1,Corn,336N,Nitrogen,Corn-336N-Nitrogen-0,10.99458877,0.036773025,10.55544155,0.008517637,1/13/21,12:22:20,1/18/21,2.13086107,1013.11094,0.18626067,1/13/21 12:22,1/13/21 12:22,1,2,1,Corn,336N,Nitrogen,10.99458877,0.044861108,21.32906743,0.009149825,0.008088083,10.77362589,0.000632188,18,30.60527778,0.006342501,8.448445499,0.000495749,0,0,0,0,0,0,0,0,0,0
19,19a,1/12/21,5:47:27,1/18/21,2.96082126,525.353738,0.16841467,1/12/21 5:47,1/12/21 5:47,0,1,0.5,1,Corn,112N,Control,Corn-112N-Control-0,10.92691741,0.062720337,11.12879182,0.008324399,1/13/21,12:27:55,1/18/21,1.76248133,3174.11247,0.40218873,1/13/21 12:27,1/13/21 12:27,1,2,1,Corn,112N,Control,10.92691741,0.037335392,67.23857536,0.019879382,-0.025384945,56.10978354,0.011554983,19,30.67444444,-0.019861441,43.90087023,0.009040737,0,0,0,0,0,0,0,0,0,0
20,20a,1/12/21,5:22:54,1/18/21,1.91191839,601.719097,0.17036769,1/12/21 5:22,1/12/21 5:22,0,1,0.5,1,Corn,112N,Carbon,Corn-112N-Carbon-0,10.92691741,0.040500981,12.74647172,0.008420933,1/13/21,12:23:23,1/18/21,1.8070281,1362.36276,0.45381844,1/13/21 12:23,1/13/21 12:23,1,2,1,Corn,112N,Carbon,10.92691741,0.038279045,28.85951017,0.022431335,-0.002221936,16.11303844,0.014010402,20,31.00805556,-0.001719761,12.47136964,0.010843945,0,0,0,0,0,0,0,0,0,0
21,21a,1/12/21,5:56:11,1/18/21,2.063567,748.806926,0.16953861,1/12/21 5:56,1/12/21 5:56,0,1,0.5,1,Corn,112N,Nitrogen,Corn-112N-Nitrogen-0,10.92691741,0.043713418,15.86229581,0.008379953,1/13/21,12:30:30,1/18/21,1.75331922,1302.07409,0.59731681,1/13/21 12:30,1/13/21 12:30,1,2,1,Corn,112N,Nitrogen,10.92691741,0.037141307,27.58238961,0.029524171,-0.006572111,11.72009381,0.021144218,21,30.57194444,-0.005159327,9.200666051,0.016598919,0,0,0,0,0,0,0,0,0,0
22,22a,1/12/21,5:57:40,1/18/21,1.69961034,537.011788,0.16898819,1/12/21 5:57,1/12/21 5:57,0,1,0.5,1,Corn,336N,Control,Corn-336N-Control-0,10.32616007,0.038098192,12.0375698,0.008838695,1/13/21,12:32:13,1/18/21,1.82377264,1345.25743,0.1536751,1/13/21 12:32,1/13/21 12:32,1,2,1,Corn,336N,Control,10.32616007,0.040881394,30.15507402,0.008037765,0.002783202,18.11750421,-0.00080093,22,30.57583333,0.002184629,14.22103844,-0.000628677,0,0,0,0,0,0,0,0,0,0
23,23a,1/12/21,5:59:09,1/18/21,1.78491268,542.3659,0.17336297,1/12/21 5:59,1/12/21 5:59,0,1,0.5,1,Corn,336N,Carbon,Corn-336N-Carbon-0,10.32616007,0.040010315,12.15758671,0.009067512,1/13/21,12:33:18,1/18/21,2.40035328,2855.56631,0.15218176,1/13/21 12:33,1/13/21 12:33,1,2,1,Corn,336N,Carbon,10.32616007,0.053805933,64.00991477,0.007959658,0.013795617,51.85232805,-0.001107854,23,30.56916667,0.010831006,40.70951252,-0.000869782,0,0,0,0,0,0,0,0,0,0
24,24a,1/12/21,6:01:00,1/18/21,1.75395109,528.089443,0.17232474,1/12/21 6:01,1/12/21 6:01,0,1,0.5,1,Corn,336N,Nitrogen,Corn-336N-Nitrogen-0,10.32616007,0.039316285,11.83756795,0.009013208,1/13/21,12:34:32,1/18/21,1.76374506,1559.41726,1.60458531,1/13/21 12:34,1/13/21 12:34,1,2,1,Corn,336N,Nitrogen,10.32616007,0.039535825,34.95564629,0.083925627,0.00021954,23.11807834,0.074912419,24,30.55888889,0.00017242,18.15621904,0.058833882,0,0,0,0,0,0,0,0,0,0
25,25a,1/12/21,6:02:35,1/18/21,1.75995385,590.848935,0.17723364,1/12/21 6:02,1/12/21 6:02,0,1,0.5,1,Corn,336N,Control,Corn-336N-Control-0,10.18043625,0.040015546,13.43395597,0.009402653,1/13/21,1:01:27,1/18/21,1.72899226,1522.59292,0.152098,1/13/21 1:01,1/13/21 1:01,1,2,1,Corn,336N,Control,10.18043625,0.039311581,34.618741,0.008069149,-0.000703964,21.18478503,-0.001333504,25,18.98111111,-0.000890103,26.78635817,-0.001686102,0,0,0,0,0,0,0,0,0,0
26,26a,1/12/21,6:04:22,1/18/21,1.614308,522.68201,0.17450757,1/12/21 6:04,1/12/21 6:04,0,1,0.5,1,Corn,336N,Carbon,Corn-336N-Carbon-0,10.18043625,0.036704039,11.88406494,0.009258029,1/13/21,1:02:51,1/18/21,1.80165722,2783.9421,0.15862215,1/13/21 1:02,1/13/21 1:02,1,2,1,Corn,336N,Carbon,10.18043625,0.040963743,63.29766103,0.008415271,0.004259703,51.41359609,-0.000842758,26,18.97472222,0.005387846,65.03000633,-0.001065955,0,0,0,0,0,0,0,0,0,0
27,27a,1/12/21,6:06:03,1/18/21,1.81587427,546.802556,0.17511066,1/12/21 6:06,1/12/21 6:06,0,1,0.5,1,Corn,336N,Nitrogen,Corn-336N-Nitrogen-0,10.18043625,0.041286992,12.43248659,0.009290024,1/13/21,1:03:55,1/20/21,2.08481744,1583.15556,0.87198549,1/13/21 1:03,1/13/21 1:03,1,2,1,Corn,336N,Nitrogen,10.18043625,0.047401872,35.99573568,0.046260839,0.006114881,23.56324909,0.036970815,27,18.96444444,0.007738541,29.81990745,0.046787533,0,0,0,0,0,0,0,0,0,0
28,28a,1/12/21,6:07:36,1/18/21,1.81366273,534.459833,0.1745095,1/12/21 6:07,1/12/21 6:07,0,1,0.5,1,Corn,0N,Control,Corn-0N-Control-0,10.57033625,0.039715641,11.70361754,0.008916633,1/13/21,1:06:07,1/20/21,2.12060481,1697.49058,0.17831603,1/13/21 1:06,1/13/21 1:06,1,2,1,Corn,0N,Control,10.57033625,0.046437068,37.17169992,0.00911113,0.006721427,25.46808238,0.000194496,28,18.97527778,0.008501285,32.21212275,0.000245999,0,0,0,0,0,0,0,0,0,0
29,29a,1/12/21,6:09:34,1/18/21,1.77890993,539.341279,0.17298226,1/12/21 6:09,1/12/21 6:09,0,1,0.5,1,Corn,0N,Carbon,Corn-0N-Carbon-0,10.57033625,0.038954623,11.81051159,0.008838598,1/13/21,1:12:29,1/20/21,2.08622639,2656.30323,0.16669589,1/13/21 1:12,1/13/21 1:12,1,2,1,Corn,0N,Carbon,10.57033625,0.045684248,58.16780825,0.008517394,0.006729625,46.35729665,-0.000321205,29,19.04861111,0.008478886,58.40715174,-0.000404697,0,0,0,0,0,0,0,0,0,0
30,30a,1/12/21,6:11:50,1/18/21,1.76816815,567.497134,0.17375866,1/12/21 6:11,1/12/21 6:11,0,1,0.5,1,Corn,0N,Nitrogen,Corn-0N-Nitrogen-0,10.57033625,0.038719399,12.42706936,0.008878269,1/13/21,1:13:54,1/20/21,2.17414497,1692.11194,1.1517508,1/13/21 1:13,1/13/21 1:13,1,2,1,Corn,0N,Nitrogen,10.57033625,0.047609492,37.0539183,0.058849172,0.008890093,24.62684894,0.049970903,30,19.03444444,0.01120927,31.05130682,0.063006918,0,0,0,0,0,0,0,0,0,0
31,31a,1/12/21,6:13:25,1/18/21,1.80987152,568.492333,0.16874482,1/12/21 6:13,1/12/21 6:13,0,1,0.5,1,Corn,112N,Control,Corn-112N-Control-0,10.9210547,0.03835986,12.04907983,0.008345195,1/13/21,1:14:47,1/20/21,2.06199242,1616.13657,0.19659395,1/13/21 1:14,1/13/21 1:14,1,2,1,Corn,112N,Control,10.9210547,0.043703512,34.25368721,0.009722461,0.005343651,22.20460737,0.001377266,31,19.02277778,0.006741793,28.01434066,0.001737621,0,0,0,0,0,0,0,0,0,0
32,32a,1/12/21,6:15:15,1/18/21,1.58018706,516.902429,0.22465731,1/12/21 6:15,1/12/21 6:15,0,1,0.5,1,Corn,112N,Carbon,Corn-112N-Carbon-0,10.9210547,0.033491745,10.95564227,0.011110321,1/13/21,1:16:20,1/20/21,2.13018568,3916.47899,11.4002745,1/13/21 1:16,1/13/21 1:16,1,2,1,Corn,112N,Carbon,10.9210547,0.045148854,83.0089788,0.563795187,0.011657109,72.05333653,0.552684866,32,19.01805556,0.01471079,90.92833238,0.697465455,0,0,0,0,0,0,0,0,0,0
33,33a,1/12/21,6:17:17,1/18/21,1.65032454,571.143669,0.16678393,1/12/21 6:17,1/12/21 6:17,0,1,0.5,1,Corn,112N,Nitrogen,Corn-112N-Nitrogen-0,10.9210547,0.034978294,12.10527436,0.00824822,1/13/21,1:18:15,1/20/21,2.21500457,1895.65748,0.16938894,1/13/21 1:18,1/13/21 1:18,1,2,1,Corn,112N,Nitrogen,10.9210547,0.046946573,40.17807627,0.00837705,0.011968279,28.07280191,0.00012883,33,19.01611111,0.015105018,35.43033809,0.000162594,0,0,0,0,0,0,0,0,0,0
34,34a,1/12/21,6:18:50,1/18/21,1.60040688,521.531117,0.1639439,1/12/21 6:18,1/12/21 6:18,0,1,0.5,1,Corn,0N,Control,Corn-0N-Control-0,10.33442753,0.035845764,11.68120522,0.008568,1/13/21,1:20:00,1/20/21,2.11947765,1865.00749,0.16474063,1/13/21 1:20,1/13/21 1:20,1,2,1,Corn,0N,Control,10.33442753,0.047471862,41.77226347,0.008609639,0.011626099,30.09105825,4.16E-05,34,19.01944444,0.014670584,37.97089868,5.25E-05,0,0,0,0,0,0,0,0,0,0
35,35a,1/12/21,6:20:50,1/18/21,1.54575019,518.574158,0.16712417,1/12/21 6:20,1/12/21 6:20,0,1,0.5,1,Corn,0N,Carbon,Corn-0N-Carbon-0,10.33442753,0.034621568,11.61497553,0.008734207,1/13/21,1:20:15,1/20/21,2.12990389,3078.97306,0.16336875,1/13/21 1:20,1/13/21 1:20,1,2,1,Corn,0N,Carbon,10.33442753,0.047705388,68.96255085,0.008537942,0.01308382,57.34757532,-0.000196265,35,18.99027778,0.016535392,72.47612825,-0.000248041,0,0,0,0,0,0,0,0,0,0
36,36a,1/12/21,6:23:07,1/18/21,1.72646478,517.909397,0.16942998,1/12/21 6:23,1/12/21 6:23,0,1,0.5,1,Corn,0N,Nitrogen,Corn-0N-Nitrogen-0,10.33442753,0.038669197,11.60008627,0.008854713,1/13/21,1:22:07,1/20/21,2.16005546,1715.40238,0.20084652,1/13/21 1:22,1/13/21 1:22,1,2,1,Corn,0N,Nitrogen,10.33442753,0.04838072,38.42142219,0.010496597,0.009711524,26.82133592,0.001641884,36,18.98333333,0.012277958,33.90932724,0.00207578,0,0,0,0,0,0,0,0,0,0
37,37a,1/12/21,6:31:02,1/18/21,1.63642342,489.915572,0.16803783,1/12/21 6:31,1/12/21 6:31,0,1,0.5,1,Miscanthus,336N,Control,Miscanthus-336N-Control-0,9.271147252,0.04085602,12.23155344,0.009789133,1/13/21,1:29:32,1/20/21,2.12821315,1634.27689,0.15899004,1/13/21 1:29,1/13/21 1:29,1,2,1,Miscanthus,336N,Control,9.271147252,0.053134365,40.80242854,0.009262049,0.012278345,28.5708751,-0.000527084,37,18.975,0.015529922,36.13707522,-0.000666667,0,0,0,0,0,0,0,0,0,0
38,38a,1/12/21,6:32:50,1/18/21,2.04050377,482.147882,0.17012487,1/12/21 6:32,1/12/21 6:32,0,1,0.5,1,Miscanthus,336N,Carbon,Miscanthus-336N-Carbon-0,9.271147252,0.050944555,12.0376202,0.009910714,1/13/21,1:30:29,1/20/21,2.10397918,2702.21523,0.21093681,1/13/21 1:30,1/13/21 1:30,1,2,1,Miscanthus,336N,Carbon,9.271147252,0.052529324,67.46527746,0.012288236,0.001584769,55.42765726,0.002377521,38,18.96083333,0.002005948,70.15850785,0.003009388,0,0,0,0,0,0,0,0,0,0
39,39a,1/12/21,6:34:10,1/18/21,1.87716559,474.027669,0.17425896,1/12/21 6:34,1/12/21 6:34,0,1,0.5,1,Miscanthus,336N,Nitrogen,Miscanthus-336N-Nitrogen-0,9.271147252,0.046866547,11.83488564,0.010151548,1/13/21,1:31:34,1/20/21,2.07861805,1622.63474,0.15730299,1/13/21 1:31,1/13/21 1:31,1,2,1,Miscanthus,336N,Nitrogen,9.271147252,0.051896141,40.51176299,0.009163769,0.005029594,28.67687735,-0.000987779,39,18.95666667,0.006367694,36.3062277,-0.001250573,0,0,0,0,0,0,0,0,0,0
40,40a,1/12/21,6:36:06,1/18/21,1.74636866,474.181228,0.17548954,1/12/21 6:36,1/12/21 6:36,0,1,0.5,1,Miscanthus,112N,Control,Miscanthus-112N-Control-0,9.689180785,0.041719848,11.32794548,0.009782161,1/13/21,1:32:35,1/20/21,2.19866073,1607.65033,0.15830008,1/13/21 1:32,1/13/21 1:32,1,2,1,Miscanthus,112N,Control,9.689180785,0.052524873,38.40593894,0.008823984,0.010805025,27.07799346,-0.000958177,40,18.94138889,0.013690685,34.30961936,-0.001214074,0,0,0,0,0,0,0,0,0,0
41,41a,1/12/21,6:38:40,1/18/21,1.7722753,523.423081,0.16873255,1/12/21 6:38,1/12/21 6:38,0,1,0.5,1,Miscanthus,112N,Carbon,Miscanthus-112N-Carbon-0,9.689180785,0.042338745,12.504308,0.009405512,1/13/21,1:58:20,1/20/21,2.69348455,1115.61429,1.2953147,1/13/21 1:58,1/13/21 1:58,1,2,1,Miscanthus,112N,Carbon,9.689180785,0.06434596,26.65145119,0.072203603,0.022007215,14.14714319,0.062798091,41,19.32777778,0.027327154,17.56701885,0.077978659,0,0,0,0,0,0,0,0,0,0
42,42a,1/12/21,6:40:20,1/18/21,2.85466723,478.435154,0.16631777,1/12/21 6:40,1/12/21 6:40,0,1,0.5,1,Miscanthus,112N,Nitrogen,Miscanthus-112N-Nitrogen-0,9.689180785,0.068196531,11.42956958,0.009270907,1/13/21,1:59:28,1/20/21,2.11863228,1629.22418,0.15810391,1/13/21 1:59,1/13/21 1:59,1,2,1,Miscanthus,112N,Nitrogen,9.689180785,0.050613035,38.92132711,0.008813049,-0.017583496,27.49175753,-0.000457858,42,19.31888889,-0.021844109,34.15321577,-0.000568801,0,0,0,0,0,0,0,0,0,0
43,43a,1/12/21,6:43:05,1/18/21,1.67559931,480.665569,0.17951319,1/12/21 6:43,1/12/21 6:43,0,1,0.5,1,Miscanthus,336N,Control,Miscanthus-336N-Control-0,11.35112405,0.03416844,9.801623048,0.008541382,1/13/21,2:02:04,1/20/21,2.24008391,1099.16362,1.26099357,1/13/21 2:02,1/13/21 2:02,1,2,1,Miscanthus,336N,Control,11.35112405,0.045679282,22.41389475,0.059999087,0.011510842,12.6122717,0.051457705,43,19.31638889,0.014301855,15.67034721,0.063934565,0,0,0,0,0,0,0,0,0,0
44,44a,1/12/21,6:48:00,1/18/21,2.97535425,517.927732,0.36580374,1/12/21 6:48,1/12/21 6:48,0,1,0.5,1,Miscanthus,336N,Carbon,Miscanthus-336N-Carbon-0,11.35112405,0.060672748,10.56146461,0.017405236,1/13/21,2:03:40,1/20/21,2.09890696,5642.88936,18.5269572,1/13/21 2:03,1/13/21 2:03,1,2,1,Miscanthus,336N,Carbon,11.35112405,0.042800434,115.0685174,0.881527502,-0.017872314,104.5070528,0.864122266,44,19.26111111,-0.022269511,130.2193447,1.076725754,0,0,0,0,0,0,0,0,0,0
45,45a,1/12/21,6:49:51,1/18/21,1.73973404,471.961336,0.17412874,1/12/21 6:49,1/12/21 6:49,0,1,0.5,1,Miscanthus,336N,Nitrogen,Miscanthus-336N-Nitrogen-0,11.35112405,0.035476261,9.624128307,0.008285185,1/13/21,2:04:32,1/20/21,2.23557527,1043.10646,2.019601,1/13/21 2:04,1/13/21 2:04,1,2,1,Miscanthus,336N,Nitrogen,11.35112405,0.045587343,21.27078988,0.096094237,0.010111082,11.64666157,0.087809052,45,19.24472222,0.012609481,14.52449531,0.109506244,0,0,0,0,0,0,0,0,0,0
